what,when,with,where,why,highlight
,,,,"Participated in fieldwork activities, assisting in GPS data collection and subsequent differential correction processes to enhance location accuracy.",1
,,,,"Ensured that laboratory assignments aligned with the latest features and functionalities of the upgraded ArcGIS suite, facilitating an up-to-date educational experience for students.",1
Lab Manager,Jan. 2014 - Jul. 2016,Geospatial Research Laboratory (GSRL),"Kingsville, TX","Provided guidance and support to students working on GIS projects, fostering a collaborative learning environment.",1
,,,,"Addressed questions and challenges, ensuring students' understanding and success in completing assignments.",1
,,,,"Analyzed Forest Inventory and Analysis (FIA) data databases and created biomass and volume distribution by County, forest ownership class, spatiotemporal variations of biomass and volume distribution in East Texas.",1
,,,,"Created student's labs, produced lab grading rubrics, designed and conducted training and workshops (Intro to ArcGIS, spatial and attribute query, Model builder, and ArcGIS Online).",1
,,,,"Managed, manipulated, and integrated GIS, LiDAR (ArcGIS platform), KMZ, GPS, and CAD data to produce maps.",1
,,,,"Provided mapping support and data analysis to civil engineers, environmental engineers, wildlife biologists, and geologists.",1
,,,,"Provided technical support for ArcGIS suite, troubleshoot and guided around 80 undergraduate students in their projects for two years.",1
Researcher,Sep. 2013 - Jan. 2014,Community Based Forest and Tree Management in the Himalayas (ComForM),"Pokhara, Nepal",Worked mostly in ArcGIS 10.x (including desktop extensions) environment,1
,,,,"Developed comprehensive data collection templates, ensuring uniformity and efficiency in the gathering of essential information.",1
,,,,"Conducted interviews with community members, employing a participatory approach to gather firsthand knowledge and perspectives.",1
,,,,"Cultivated positive relationships with the public, creating an atmosphere of trust and cooperation.",0
,,,,"Responded to inquiries and phone calls, providing accurate and timely information to enhance community engagement.",1
,,,,Engaged local people to prepare participatory timber marketing route maps.,1
Documentation Officer,Feb. 2012 - Sep. 2013,Federation of Community Forests Users' Nepal (FECOFUN),"Kathmandu, Nepal","Designed Geodatabase, database management, research, read and understand component drawings, geo-referencing, troubleshooting, create schematic procedures and specifications, and problem-solving.",1
,,,,"Trained local people on data collection using GPS (eTrex 20) devices, software programs (DNR Garmin, GPS utility,  ArcView, and Google Earth).",1
,,,,Acquired loal conflict location data and prepared maps.,1
,,,,"Designed research, developed data collection tools and reporting tools and templates.",1
,,,,"Trained 18 staffs and 20 practitioners (Modular training participants): Data collection, Data entry in MS Access and excel spreadsheet, open-ended questions, and GPS handling",1
,,,,"Managed relational database (MS Access) of activities, conducted by central and district chapters of the program.",1
,,,,"Developed and improved training contents, delivered and facilitated workshops and training.",1
GIS Data Analyst-land use change and forestry,Jun. 2011 - Feb. 2012,Association for the Development of Environment and People in Transition (adaptnepal),"Kathmandu, Nepal","Gathered, and analyzed meteorological data and performed geostatistical analyis.",1
,,,,"Prepared rainfall, and temperature distribution maps of Nepal.",1
,,,,Extracted elevation data and classify vegetation types based on criteria defined by Intergovernmental Panel on Climate Change (IPCC).,1
,,,,Analyzed the Land use change and forestry data in preparing second national communication report to United Nations Framework Convention on Climate Change (UNFCCC).,1
,,,,Biomass loss/accumulation maps by vegetation over two decades (1990-2010) with different biomass growth factors.,1
,,,,Presented findings with government officials and civil societies.,0
,,,,"Discussed, and submitted progress reports as necessary to immediate supervisor and working team.",1
Research Assistant,Dec. 2009 - May 2011,ComForM,"Pokhara, Nepal","Assisted in developing comprehensive data collection templates, ensuring uniformity and efficiency in gathering essential information.",1
,,,,"Conducted GPS boundary survey of 10 community forests, assited in image analysis (GeoEye) and collected ground control points.",1
,,,,Collected forest inventory data from permanent sample plots.,1
,,,,"Conducted stakeholder and focus groups meetings, fostering collaboration and obtaining valuable insights for research purposes.",1
,,,,"Conducted interviews with community members, employing a participatory approach to gather firsthand knowledge and perspectives.",1
,,,,"Executed meticulous data entry and analysis, employing statistical and spatial techniques to derive meaningful patterns and trends.",1
